"type","topic","kept","kept_question","removed","removed_question","reason"
"EXACT","javascript","javascript/variables#35","What does typeof ""hello"" return?","javascript/datatypes#0","What does typeof ""hello"" return?","Identical question text and code"
"EXACT","javascript","javascript/variables#39","What is the Temporal Dead Zone (TDZ)?","javascript/scope#38","What is the Temporal Dead Zone (TDZ)?","Identical question text and code"
"EXACT","javascript","javascript/variables#58","What is logged?","javascript/scope#60","What is logged?","Identical question text and code"
"EXACT","javascript","javascript/datatypes#5","What does typeof [] return?","javascript/datatypes#11","What does typeof {} return?","Identical question text and code"
"EXACT","javascript","javascript/datatypes#5","What does typeof [] return?","javascript/datatypes#61","What does typeof [] return?","Identical question text and code"
"EXACT","javascript","javascript/datatypes#6","What is the result?","javascript/datatypes#7","What is the result?","Identical question text and code"
"EXACT","javascript","javascript/datatypes#9","What does typeof function(){} return?","javascript/datatypes#53","What does typeof function(){} return?","Identical question text and code"
"EXACT","javascript","javascript/datatypes#19","What is wrong?","javascript/conditionals#22","What is wrong?","Identical question text and code"
"EXACT","javascript","javascript/operators#0","What is logged?","javascript/operators#1","What is logged?","Identical question text and code"
"EXACT","javascript","javascript/operators#0","What is logged?","javascript/operators#60","What is logged?","Identical question text and code"
"EXACT","javascript","javascript/operators#4","What is logged?","javascript/operators#5","What is logged?","Identical question text and code"
"EXACT","javascript","javascript/operators#8","What is logged?","javascript/operators#56","What is logged?","Identical question text and code"
"EXACT","javascript","javascript/operators#9","What is logged?","javascript/operators#10","What is logged?","Identical question text and code"
"EXACT","javascript","javascript/loops#11","What is logged?","javascript/scope#7","What is logged?","Identical question text and code"
"EXACT","javascript","javascript/functions#23","What is wrong with this object method?","javascript/objects#22","What is wrong with this object method?","Identical question text and code"
"EXACT","javascript","javascript/closures#9","What is logged?","javascript/closures#59","What is logged?","Identical question text and code"
"EXACT","javascript","javascript/events#38","What is the difference between event.target and event.currentTarget?","javascript/events#86","What is the difference between event.target and event.currentTarget?","Identical question text and code"
"EXACT","javascript","javascript/errorhandling#11","What is the difference between TypeError and ReferenceError?","javascript/errorhandling#36","What is the difference between TypeError and ReferenceError?","Identical question text and code"
"EXACT","playwright","playwright/setup#10","What does `npx playwright show-report` do?","playwright/setup#58","What does `npx playwright show-report` do?","Identical question text and code"
"EXACT","playwright","playwright/navigation#6","What does `page.goBack()` do?","playwright/navigation#50","What does `page.goBack()` do?","Identical question text and code"
"EXACT","playwright","playwright/actions#3","What does `locator.hover()` do?","playwright/actions#60","What does `locator.hover()` do?","Identical question text and code"
"EXACT","playwright","playwright/assertions#2","What is the difference between `toHaveText()` and `toContainText()`?","playwright/assertions#61","What is the difference between `toHaveText()` and `toContainText()`?","Identical question text and code"
"EXACT","playwright","playwright/assertions#9","What does `await expect(response).toBeOK()` assert?","playwright/api#8","What does `await expect(response).toBeOK()` assert?","Identical question text and code"
"EXACT","playwright","playwright/config#1","What does the `use` block in playwright.config.ts configure?","playwright/config#50","What does the `use` block in playwright.config.ts configure?","Identical question text and code"
"EXACT","playwright","playwright/config#3","What does `retries: 2` in the config do?","playwright/config#58","What does `retries: 2` in the config do?","Identical question text and code"
"EXACT","playwright","playwright/config#4","What does `fullyParallel: true` change compared to the default?","playwright/parallel#2","What does `fullyParallel: true` change compared to the default?","Identical question text and code"
"EXACT","playwright","playwright/api#1","What does `response.ok()` return?","playwright/api#53","What does `response.ok()` return?","Identical question text and code"
"EXACT","playwright","playwright/visual#31","Complete to take a full-page screenshot.
```ts
await page.screenshot({ path: 'full.png', ______: true });
```","playwright/visual#62","Complete to take a full-page screenshot.
```ts
await page.screenshot({ path: ""full.png"", ______: true });
```","Identical question text and code"
"EXACT","tosca","tosca/intro#22","What is a PCD (Parameter Container Definition)?","tosca/config#4","What is a PCD (Parameter Container Definition)?","Identical question text and code"
"EXACT","tosca","tosca/intro#57","What is a ""Repository Profile"" in TOSCA?","tosca/workspace#47","What is a ""Repository Profile"" in TOSCA?","Identical question text and code"
"EXACT","tosca","tosca/scanning#13","Which TBox engine is used for SAP GUI automation?","tosca/scanning#50","Which TBox engine is used for SAP GUI automation?","Identical question text and code"
"EXACT","tosca","tosca/testcases#1","What is a Test Step in TOSCA?","tosca/testcases#48","What is a ""Test Step"" in TOSCA?","Identical question text and code"
"EXACT","tosca","tosca/config#2","What is a Global Parameter in TOSCA?","tosca/config#43","What is a ""Global Parameter"" in TOSCA?","Identical question text and code"
"EXACT","tosca","tosca/api#1","How is an API endpoint represented in TOSCA?","tosca/api#44","How is an API endpoint represented in TOSCA?","Identical question text and code"
